product_id,product_name,category,price
133,Product 133,Fashion,256.34
134,Product 134,Electronics,494.1
135,Product 135,Fashion,303.85
136,Product 136,Fashion,56.09
137,Product 137,Home,392.27
138,Product 138,Home,369.38
139,Product 139,Fashion,356.99
140,Product 140,Electronics,183.73
141,Product 141,Electronics,269.29
142,Product 142,Home,255.59
143,Product 143,Home,65.98
144,Product 144,Home,362.7
145,Product 145,Fashion,382.75
146,Product 146,Electronics,365.4
147,Product 147,Electronics,174.51
148,Product 148,Fashion,252.27
149,Product 149,Fashion,475.8
150,Product 150,Home,12.88
151,Product 151,Fashion,128.01
152,Product 152,Fashion,108.5
153,Product 153,Home,399.01
154,Product 154,Home,215.4
155,Product 155,Home,381.03
156,Product 156,Fashion,455.79
157,Product 157,Fashion,344.94
158,Product 158,Home,443.2
159,Product 159,Home,319.73
160,Product 160,Electronics,395.47
161,Product 161,Home,424.48
162,Product 162,Home,144.29
163,Product 163,Electronics,282.89
164,Product 164,Fashion,392.93
165,Product 165,Fashion,490.96
166,Product 166,Home,44.11
167,Product 167,Fashion,11.78
168,Product 168,Fashion,107.39
169,Product 169,Electronics,126.51
170,Product 170,Fashion,23.68
171,Product 171,Fashion,495.26
172,Product 172,Fashion,153.78
173,Product 173,Fashion,222.09
174,Product 174,Electronics,328.63
175,Product 175,Fashion,265.88
176,Product 176,Electronics,147.2
177,Product 177,Home,14.06
178,Product 178,Fashion,114.36
179,Product 179,Electronics,444.44
180,Product 180,Electronics,469.96
181,Product 181,Electronics,493.0
182,Product 182,Fashion,206.68
183,Product 183,Electronics,85.95
184,Product 184,Electronics,259.65
185,Product 185,Fashion,181.91
186,Product 186,Fashion,207.63
187,Product 187,Home,90.35
188,Product 188,Electronics,385.18
189,Product 189,Fashion,431.72
190,Product 190,Electronics,121.27
191,Product 191,Fashion,490.82
192,Product 192,Electronics,254.14
193,Product 193,Electronics,263.8
194,Product 194,Electronics,313.02
195,Product 195,Home,330.01
196,Product 196,Electronics,465.18
197,Product 197,Home,143.45
198,Product 198,Home,70.81
199,Product 199,Home,113.98
200,Product 200,Home,372.93
201,Product 201,Home,134.47
202,Product 202,Electronics,402.69
203,Product 203,Home,234.07
204,Product 204,Home,443.46
205,Product 205,Home,293.81
206,Product 206,Electronics,80.45
207,Product 207,Fashion,52.71
208,Product 208,Fashion,46.77
209,Product 209,Fashion,390.79
210,Product 210,Home,111.47
211,Product 211,Fashion,373.05
212,Product 212,Electronics,489.46
213,Product 213,Home,484.51
214,Product 214,Fashion,321.18
215,Product 215,Fashion,277.85
216,Product 216,Fashion,79.35
217,Product 217,Fashion,38.77
218,Product 218,Home,50.63
219,Product 219,Electronics,144.48
220,Product 220,Home,163.1
221,Product 221,Home,154.31
222,Product 222,Fashion,252.33
223,Product 223,Home,142.95
224,Product 224,Fashion,136.7
225,Product 225,Home,290.34
226,Product 226,Fashion,301.06
227,Product 227,Home,315.72
228,Product 228,Home,179.99
229,Product 229,Electronics,488.58
230,Product 230,Electronics,34.56
231,Product 231,Fashion,290.15
232,Product 232,Electronics,492.23
233,Product 233,Home,96.88
234,Product 234,Fashion,376.4
235,Product 235,Electronics,49.13
236,Product 236,Home,305.51
237,Product 237,Electronics,121.16
238,Product 238,Electronics,313.03
239,Product 239,Electronics,367.17
240,Product 240,Electronics,413.3
241,Product 241,Fashion,405.77
242,Product 242,Home,339.6
243,Product 243,Electronics,275.33
244,Product 244,Fashion,217.46
245,Product 245,Fashion,253.04
246,Product 246,Electronics,58.4
247,Product 247,Home,140.2
248,Product 248,Electronics,213.09
249,Product 249,Electronics,204.02
250,Product 250,Fashion,494.4
251,Product 251,Home,238.94
252,Product 252,Fashion,49.74
253,Product 253,Electronics,303.12
254,Product 254,Electronics,423.62
255,Product 255,Electronics,76.16
256,Product 256,Fashion,179.33
257,Product 257,Home,101.12
258,Product 258,Electronics,384.77
259,Product 259,Fashion,449.85
260,Product 260,Home,443.45
261,Product 261,Electronics,256.75
262,Product 262,Electronics,360.8
263,Product 263,Home,435.12
264,Product 264,Electronics,92.31
265,Product 265,Home,161.05
266,Product 266,Fashion,14.71
267,Product 267,Fashion,205.82
268,Product 268,Fashion,145.05
269,Product 269,Fashion,150.38
270,Product 270,Electronics,191.17
271,Product 271,Electronics,427.94
272,Product 272,Fashion,213.12
273,Product 273,Home,457.45
274,Product 274,Home,313.48
275,Product 275,Electronics,303.84
276,Product 276,Electronics,496.63
277,Product 277,Home,326.82
278,Product 278,Home,124.74
279,Product 279,Home,25.69
280,Product 280,Electronics,310.62
281,Product 281,Fashion,214.61
282,Product 282,Electronics,156.0
283,Product 283,Electronics,225.15
284,Product 284,Fashion,49.31
285,Product 285,Home,412.56
286,Product 286,Fashion,117.35
287,Product 287,Electronics,383.24
288,Product 288,Fashion,368.71
289,Product 289,Electronics,205.47
290,Product 290,Electronics,354.39
291,Product 291,Home,208.22
292,Product 292,Electronics,100.51
293,Product 293,Home,174.46
294,Product 294,Fashion,204.0
295,Product 295,Home,10.2
296,Product 296,Fashion,355.76
297,Product 297,Electronics,145.78
298,Product 298,Fashion,463.42
299,Product 299,Fashion,83.98
300,Product 300,Home,359.35
301,Product 301,Fashion,427.68
302,Product 302,Fashion,205.83
303,Product 303,Fashion,314.41
304,Product 304,Fashion,266.72
305,Product 305,Home,149.1
306,Product 306,Home,427.38
307,Product 307,Home,154.64
308,Product 308,Home,397.94
309,Product 309,Fashion,109.12
310,Product 310,Electronics,380.07
311,Product 311,Home,136.65
312,Product 312,Home,115.82
313,Product 313,Fashion,346.25
314,Product 314,Electronics,496.42
315,Product 315,Home,93.16
316,Product 316,Fashion,99.86
317,Product 317,Electronics,303.17
318,Product 318,Home,310.98
319,Product 319,Electronics,49.15
320,Product 320,Home,208.84
321,Product 321,Fashion,308.22
322,Product 322,Electronics,250.42
323,Product 323,Home,89.13
324,Product 324,Electronics,411.65
325,Product 325,Fashion,368.85
326,Product 326,Home,320.58
327,Product 327,Electronics,393.79
328,Product 328,Electronics,141.16
329,Product 329,Home,180.06
330,Product 330,Fashion,378.55
331,Product 331,Fashion,73.37
332,Product 332,Electronics,357.98
333,Product 333,Electronics,267.72
334,Product 334,Electronics,256.38
335,Product 335,Home,303.98
336,Product 336,Fashion,220.21
337,Product 337,Electronics,498.84
338,Product 338,Electronics,94.74
339,Product 339,Fashion,135.23
340,Product 340,Home,181.86
341,Product 341,Home,275.31
342,Product 342,Electronics,422.97
343,Product 343,Home,473.16
344,Product 344,Home,29.52
345,Product 345,Electronics,297.21
346,Product 346,Home,158.17
347,Product 347,Home,166.53
348,Product 348,Home,310.67
349,Product 349,Home,371.89
350,Product 350,Electronics,115.67
351,Product 351,Fashion,464.46
352,Product 352,Fashion,306.82
353,Product 353,Fashion,400.44
354,Product 354,Home,121.98
355,Product 355,Fashion,96.14
356,Product 356,Fashion,121.03
357,Product 357,Electronics,118.07
358,Product 358,Fashion,158.92
359,Product 359,Fashion,212.89
360,Product 360,Electronics,23.14
361,Product 361,Electronics,76.8
362,Product 362,Home,368.75
363,Product 363,Home,162.22
364,Product 364,Home,388.63
365,Product 365,Home,252.78
366,Product 366,Fashion,149.14
367,Product 367,Home,168.51
368,Product 368,Electronics,242.03
369,Product 369,Fashion,364.82
370,Product 370,Electronics,214.81
371,Product 371,Fashion,261.17
372,Product 372,Home,359.89
373,Product 373,Fashion,356.99
374,Product 374,Home,151.8
375,Product 375,Fashion,21.7
376,Product 376,Home,296.51
377,Product 377,Fashion,41.76
378,Product 378,Fashion,25.76
379,Product 379,Home,332.81
380,Product 380,Home,499.37
381,Product 381,Electronics,361.16
382,Product 382,Electronics,442.95
383,Product 383,Home,102.36
384,Product 384,Fashion,438.42
385,Product 385,Fashion,486.5
386,Product 386,Electronics,105.34
387,Product 387,Home,49.17
388,Product 388,Fashion,466.57
389,Product 389,Home,125.03
390,Product 390,Fashion,146.71
391,Product 391,Electronics,450.48
392,Product 392,Home,432.44
393,Product 393,Electronics,354.56
394,Product 394,Fashion,191.7
395,Product 395,Fashion,472.81
396,Product 396,Electronics,231.51
397,Product 397,Fashion,238.29
398,Product 398,Fashion,345.54
399,Product 399,Fashion,350.56
400,Product 400,Fashion,367.68
