cart_id,customer_id,product_id,cart_date,items_in_cart,cart_value,session_minutes,abandoned,traffic_source
60,146,151,2024-06-12,1,79.7,2,0,Direct
61,20,201,2024-06-16,1,691.99,57,0,Social
62,932,12,2024-12-16,4,155.1,49,1,Social
63,20,225,2024-05-05,3,470.22,32,0,Social
64,951,336,2024-08-01,4,779.98,43,1,Ads
65,386,191,2024-12-12,1,1068.31,52,1,Email
66,338,24,2024-04-16,2,962.49,22,0,Direct
67,490,149,2024-03-20,1,980.84,5,0,Direct
68,217,144,2024-01-02,4,790.79,15,0,Social
69,355,311,2024-12-04,1,328.77,46,0,Email
70,182,206,2024-03-08,2,849.98,45,0,Social
71,383,58,2024-04-21,4,1171.64,53,0,Ads
72,991,297,2024-06-07,5,463.96,57,1,Ads
73,614,219,2024-07-06,2,152.41,36,0,Social
74,390,392,2024-06-09,5,874.99,10,0,Ads
75,563,333,2024-06-11,1,1194.36,34,1,Ads
76,804,282,2024-10-17,2,65.2,21,0,Direct
77,733,243,2024-04-25,3,31.4,55,1,Ads
78,304,206,2024-04-30,1,101.01,16,0,Email
79,799,103,2024-10-11,3,654.49,23,0,Social
80,85,55,2024-07-22,2,927.2,3,0,Ads
81,398,57,2024-04-20,4,650.17,51,1,Email
82,4,51,2024-08-12,1,803.91,42,1,Ads
83,646,109,2024-11-12,5,420.32,11,1,Social
84,96,53,2024-02-06,1,158.01,26,1,Direct
85,926,269,2024-02-05,5,225.55,4,1,Ads
86,155,324,2024-06-02,5,868.7,43,1,Email
87,761,386,2024-11-26,1,79.75,44,1,Email
88,321,221,2024-07-18,3,1140.5,20,0,Email
89,771,51,2024-03-31,5,679.39,38,0,Direct
90,239,215,2024-06-05,1,210.02,25,0,Email
91,651,314,2024-07-06,1,715.9,9,0,Direct
92,362,268,2024-09-24,2,832.66,47,1,Email
93,16,27,2024-08-13,3,1060.75,39,1,Direct
94,523,146,2024-10-14,5,772.99,13,1,Social
95,965,157,2024-10-04,5,920.78,14,1,Ads
96,626,70,2024-10-27,2,1034.68,21,0,Email
97,939,2,2024-05-05,4,707.67,11,1,Social
98,907,137,2024-01-27,1,482.67,33,0,Social
99,354,353,2024-12-03,4,965.13,50,0,Direct
100,384,165,2024-06-18,1,352.76,12,0,Direct
101,664,182,2024-10-07,1,813.41,53,1,Email
102,508,399,2024-03-17,5,273.35,26,1,Social
103,612,74,2024-09-13,3,103.8,13,1,Ads
104,232,186,2024-12-31,3,646.27,45,0,Email
105,23,377,2024-03-11,1,1028.03,39,1,Ads
106,64,368,2024-10-05,1,730.01,23,1,Email
107,86,3,2024-09-22,5,516.7,3,1,Email
108,451,113,2024-06-08,5,899.05,43,0,Direct
109,150,300,2024-05-19,2,214.55,41,0,Social
110,238,89,2024-07-16,5,649.14,59,1,Email
111,199,359,2024-07-13,5,993.21,51,1,Direct
112,807,75,2024-01-31,1,757.72,51,0,Social
113,26,220,2024-09-29,4,526.26,60,0,Email
114,340,17,2024-08-12,5,930.28,32,0,Direct
115,958,397,2024-06-19,5,635.0,30,0,Social
116,997,167,2024-12-04,3,1198.13,60,1,Email
117,637,49,2024-01-25,3,627.78,56,0,Ads
118,64,22,2024-03-26,4,594.9,49,0,Social
119,29,118,2024-05-28,2,231.86,27,1,Ads
120,474,148,2024-01-17,4,68.03,19,1,Social
121,642,337,2024-10-13,1,839.92,12,1,Direct
122,701,184,2024-02-15,4,891.92,50,1,Ads
123,963,230,2024-09-22,5,499.24,8,1,Email
124,461,396,2024-07-18,3,936.56,21,1,Social
125,382,311,2024-05-06,3,980.7,56,1,Ads
126,425,142,2024-10-07,5,308.45,5,0,Direct
127,431,289,2024-07-05,3,35.35,51,1,Email
128,884,153,2024-03-09,1,414.58,49,0,Social
129,388,329,2024-03-02,5,1048.65,43,0,Ads
130,933,283,2024-01-01,3,1021.29,60,1,Social
131,670,177,2024-11-29,4,514.05,46,1,Direct
132,727,269,2024-05-13,3,554.28,46,0,Direct
133,174,235,2024-03-23,5,528.27,39,0,Email
134,109,286,2024-08-13,4,1155.94,45,0,Social
135,592,131,2024-06-04,2,200.48,17,1,Social
136,693,107,2024-07-28,5,295.37,43,1,Social
137,370,297,2024-06-15,3,777.92,28,0,Social
138,786,105,2024-10-24,4,374.3,20,1,Social
139,19,171,2024-07-09,5,364.44,45,1,Social
140,720,329,2024-09-13,4,72.61,52,0,Direct
141,503,81,2024-05-15,5,828.39,14,0,Direct
142,213,367,2024-07-16,1,477.74,54,0,Social
143,552,373,2024-07-16,5,1178.68,26,1,Social
144,996,203,2024-02-02,2,1196.38,28,1,Direct
145,775,25,2024-08-22,3,675.04,59,1,Email
146,223,111,2024-04-21,4,69.3,6,0,Direct
147,464,149,2024-02-08,5,146.25,30,0,Social
148,946,2,2024-11-24,1,374.08,27,1,Ads
149,928,146,2024-08-27,4,1057.01,13,1,Email
150,188,231,2024-11-04,2,53.36,8,1,Direct
151,138,270,2024-02-10,5,863.18,31,1,Ads
152,345,279,2024-01-13,1,1082.51,33,1,Social
153,995,340,2024-07-22,2,288.3,30,0,Email
154,457,93,2024-07-06,1,1093.1,31,1,Ads
155,806,85,2024-09-12,2,459.51,16,0,Social
156,974,305,2024-10-30,2,367.4,38,1,Ads
157,473,63,2024-08-27,5,1000.88,12,1,Email
158,430,44,2024-11-20,1,358.7,58,1,Social
159,269,354,2024-12-02,1,609.25,51,0,Ads
160,826,135,2024-05-28,1,618.72,1,0,Social
161,647,71,2024-04-27,3,958.08,35,0,Direct
162,233,60,2024-11-11,3,881.35,39,0,Direct
163,500,253,2024-02-09,5,377.06,16,1,Email
164,677,146,2024-08-18,1,231.65,57,0,Direct
165,670,142,2024-08-01,4,989.78,46,0,Ads
166,268,269,2024-09-14,4,1158.47,48,1,Email
167,971,93,2024-05-26,1,202.92,24,1,Ads
168,583,3,2024-01-31,5,1072.06,55,1,Email
169,960,76,2024-11-23,5,565.77,30,0,Direct
170,82,184,2024-03-17,5,712.38,3,0,Email
171,273,286,2024-04-12,4,940.9,7,0,Direct
172,749,27,2024-06-09,1,779.9,56,0,Direct
173,318,68,2024-02-06,1,836.23,28,0,Email
174,861,192,2024-06-19,1,488.43,13,1,Direct
175,62,35,2024-08-31,1,565.48,5,0,Email
176,778,330,2024-01-07,1,374.49,48,1,Ads
177,631,346,2024-09-16,2,302.17,45,1,Direct
178,696,107,2024-11-19,4,128.21,47,1,Direct
179,826,389,2024-05-11,2,255.98,44,1,Social
180,856,23,2024-07-09,4,317.56,45,0,Email
181,834,45,2024-09-20,3,308.63,41,0,Ads
182,461,9,2024-04-13,4,434.1,32,0,Direct
183,284,159,2024-08-17,1,898.44,26,0,Ads
184,287,376,2024-11-13,2,174.07,13,1,Email
185,513,21,2024-12-28,3,1022.83,30,0,Social
186,920,388,2024-04-15,4,1061.55,44,0,Direct
187,416,165,2024-11-08,1,233.18,14,1,Ads
188,768,158,2024-10-17,1,290.99,2,0,Direct
189,238,50,2024-10-11,4,60.89,16,1,Ads
190,518,179,2024-01-25,2,1073.0,54,0,Ads
191,174,231,2024-07-09,1,849.91,42,0,Email
192,403,103,2024-06-27,1,1007.1,44,1,Email
193,922,26,2024-04-26,3,547.54,40,1,Ads
194,978,219,2024-04-02,3,545.59,59,0,Direct
195,451,341,2024-10-28,5,849.49,34,1,Email
196,435,65,2024-10-11,1,803.22,10,1,Email
197,667,367,2024-01-01,2,966.88,59,0,Social
198,73,235,2024-01-28,3,370.17,4,0,Email
199,935,87,2024-11-09,1,824.23,52,1,Social
200,480,130,2024-10-25,2,1145.14,18,1,Email
201,539,299,2024-04-17,3,1113.52,48,0,Email
202,624,399,2024-04-06,3,834.69,39,1,Email
203,885,177,2024-01-07,2,956.14,42,1,Direct
204,437,99,2024-02-20,4,440.52,20,0,Email
205,269,292,2024-08-31,4,41.6,19,1,Email
206,828,245,2024-06-26,2,1146.15,18,1,Ads
207,91,364,2024-02-07,4,47.56,8,0,Ads
208,889,136,2024-12-14,5,413.16,41,1,Direct
209,29,303,2024-06-27,1,437.35,39,0,Ads
210,659,27,2024-11-07,1,419.54,16,0,Ads
211,261,103,2024-09-14,1,224.99,11,0,Direct
212,801,306,2024-03-05,1,452.02,60,1,Email
213,947,258,2024-05-10,3,997.53,7,0,Direct
214,950,391,2024-03-11,5,800.84,26,0,Email
215,648,206,2024-08-13,4,144.28,35,0,Email
216,314,376,2024-03-26,2,822.51,29,1,Ads
217,964,74,2024-05-30,5,1153.52,40,0,Social
218,255,93,2024-09-24,3,490.58,45,0,Email
219,98,45,2024-05-03,5,548.63,44,0,Direct
220,772,364,2024-06-15,5,501.15,14,0,Email
221,323,121,2024-05-23,5,872.92,34,1,Email
222,692,328,2024-01-02,1,531.53,42,0,Social
223,143,233,2024-12-15,3,724.36,25,1,Email
224,640,202,2024-08-12,3,1100.87,51,1,Social
225,71,196,2024-01-01,2,438.25,60,1,Direct
226,837,229,2024-04-02,2,82.13,35,1,Ads
227,518,85,2024-01-21,3,910.96,42,0,Email
228,260,92,2024-07-25,3,1053.31,27,1,Direct
229,868,300,2024-07-18,4,1024.13,19,0,Email
230,257,276,2024-12-03,4,1004.63,54,0,Social
231,466,33,2024-05-20,1,866.19,20,1,Ads
232,412,78,2024-02-06,4,983.46,37,0,Email
233,438,214,2024-06-28,4,771.09,43,0,Email
234,793,258,2024-11-21,4,738.99,33,1,Direct
235,852,114,2024-05-19,4,333.07,39,1,Ads
236,472,62,2024-05-16,2,795.91,42,1,Direct
237,319,372,2024-03-19,1,292.27,1,0,Ads
238,966,364,2024-10-10,3,1198.65,58,1,Social
239,330,326,2024-04-25,4,692.86,28,1,Email
240,546,93,2024-07-16,5,500.63,11,1,Ads
241,378,272,2024-04-13,5,1003.98,37,0,Social
242,167,46,2024-04-24,2,1128.87,42,1,Direct
243,512,206,2024-07-24,1,1122.58,22,0,Social
244,354,311,2024-09-04,3,489.85,33,0,Ads
245,356,189,2024-09-20,1,805.69,27,1,Direct
246,714,166,2024-02-17,1,681.02,24,1,Social
247,123,192,2024-05-24,5,260.67,29,0,Social
248,241,377,2024-10-19,5,1070.86,59,1,Direct
249,511,306,2024-11-16,5,949.24,3,0,Email
250,394,102,2024-05-03,5,1066.03,46,0,Social
251,2,281,2024-03-18,4,761.97,55,0,Social
252,18,94,2024-10-11,2,1156.3,20,1,Direct
253,485,251,2024-12-28,4,22.0,60,0,Social
254,965,219,2024-08-05,2,433.77,28,1,Social
255,567,362,2024-05-11,1,276.25,22,1,Social
256,972,121,2024-05-04,3,485.08,22,1,Ads
257,446,12,2024-11-01,3,741.8,20,1,Email
258,87,120,2024-06-14,4,406.61,7,1,Social
259,955,15,2024-05-27,2,852.95,52,1,Email
260,510,116,2024-04-24,2,167.07,11,0,Ads
261,417,374,2024-03-14,5,1163.55,9,1,Direct
262,26,225,2024-07-31,4,910.23,54,1,Ads
263,88,298,2024-02-20,2,376.94,24,0,Email
264,336,123,2024-12-24,2,96.63,48,1,Email
265,748,321,2024-11-15,3,1189.5,16,1,Social
266,888,376,2024-12-30,2,1073.96,49,1,Ads
267,110,292,2024-10-25,3,465.93,45,0,Ads
268,781,52,2024-08-26,4,620.16,47,0,Social
269,339,397,2024-09-30,1,15.02,22,0,Direct
270,358,4,2024-12-07,3,611.63,31,1,Ads
271,688,60,2024-06-16,1,973.57,30,1,Direct
272,118,321,2024-10-16,1,463.94,25,0,Direct
273,772,332,2024-09-16,2,589.34,40,0,Social
274,734,285,2024-11-06,1,232.54,9,0,Email
275,82,85,2024-04-27,2,259.27,51,0,Social
276,361,342,2024-01-04,3,209.66,57,1,Email
277,975,198,2024-03-21,5,1114.76,16,0,Social
278,935,5,2024-03-06,5,360.81,13,1,Email
279,655,295,2024-07-06,3,1102.66,6,0,Email
280,633,156,2024-02-16,3,329.99,51,1,Email
281,454,359,2024-03-06,2,45.65,52,0,Social
282,600,189,2024-01-25,1,680.51,21,0,Direct
283,952,290,2024-02-02,3,933.64,24,0,Direct
284,829,353,2024-03-12,1,252.15,37,1,Social
285,141,321,2024-07-08,4,31.99,10,1,Email
286,158,360,2024-07-01,5,530.42,25,0,Direct
287,934,170,2024-11-10,2,932.59,31,1,Email
288,28,267,2024-05-09,3,177.75,43,1,Social
289,75,166,2024-08-25,3,1056.3,41,0,Social
290,861,144,2024-06-26,5,720.39,52,0,Direct
291,430,45,2024-11-19,2,474.68,26,0,Email
292,308,217,2024-01-21,4,928.31,58,1,Ads
293,781,386,2024-01-31,1,392.57,30,0,Direct
294,405,19,2024-03-14,2,674.93,9,0,Email
295,49,319,2024-07-07,2,821.34,59,1,Email
296,964,261,2024-03-18,4,399.47,28,0,Email
297,680,289,2024-10-16,3,320.08,23,1,Email
298,508,28,2024-08-22,1,458.09,14,1,Email
299,489,69,2024-02-14,4,213.94,43,1,Email
300,31,165,2024-03-17,3,474.46,29,1,Direct
301,820,131,2024-12-30,1,694.3,59,1,Ads
302,838,287,2024-11-08,5,638.65,31,0,Ads
303,211,259,2024-04-14,1,300.31,46,0,Ads
304,174,278,2024-10-22,3,303.66,45,0,Ads
305,631,349,2024-03-19,5,1049.0,60,1,Ads
306,532,324,2024-05-16,4,627.63,53,0,Email
307,559,176,2024-11-18,4,733.66,18,0,Ads
308,584,246,2024-02-15,2,553.42,44,1,Email
309,848,308,2024-08-16,4,223.1,46,1,Direct
310,197,160,2024-02-08,2,253.06,57,1,Email
311,299,241,2024-09-28,4,343.46,39,0,Ads
312,79,184,2024-07-24,5,771.93,56,0,Ads
313,59,391,2024-01-16,3,70.64,2,0,Email
314,521,335,2024-11-01,4,1119.69,9,1,Ads
315,828,182,2024-05-16,3,658.87,57,0,Email
316,298,308,2024-12-09,2,103.24,28,0,Direct
317,516,40,2024-07-17,4,746.85,19,0,Social
318,910,187,2024-08-02,3,489.1,8,1,Email
319,153,89,2024-02-01,5,91.14,7,0,Social
320,777,380,2024-02-19,4,431.38,11,0,Direct
321,566,221,2024-12-10,1,152.69,49,0,Ads
322,226,307,2024-05-11,1,821.6,38,1,Email
323,42,276,2024-01-17,3,771.23,37,1,Direct
324,119,244,2024-02-26,5,847.79,51,1,Ads
325,663,300,2024-02-17,1,661.84,3,1,Email
326,621,53,2024-06-29,2,615.21,31,0,Direct
327,450,194,2024-11-11,2,726.36,16,1,Ads
328,529,96,2024-12-18,4,1123.56,57,0,Ads
329,470,54,2024-07-17,1,804.68,18,0,Ads
330,283,160,2024-05-19,4,303.26,36,1,Ads
331,893,234,2024-05-03,3,988.37,37,1,Ads
332,789,210,2024-10-17,3,801.74,42,0,Direct
333,766,324,2024-10-06,4,256.55,17,0,Ads
334,589,252,2024-12-26,5,758.07,17,1,Email
335,405,37,2024-08-21,5,454.66,55,1,Direct
336,399,58,2024-01-27,4,678.81,35,0,Email
337,158,128,2024-05-10,2,206.35,44,1,Ads
338,156,289,2024-07-14,1,976.54,16,0,Direct
339,444,153,2024-04-04,3,461.45,39,1,Email
340,297,104,2024-10-03,2,161.97,20,1,Direct
341,292,59,2024-10-29,5,835.03,59,0,Ads
342,246,94,2024-10-18,1,710.47,32,0,Email
343,320,53,2024-11-04,3,73.39,33,0,Ads
344,975,124,2024-01-12,3,438.59,30,1,Direct
345,839,222,2024-01-02,1,1091.42,14,0,Ads
346,286,250,2024-08-31,2,569.72,3,1,Direct
347,944,143,2024-04-16,1,344.77,28,1,Ads
348,647,90,2024-05-21,1,1170.83,60,0,Email
349,139,189,2024-08-31,5,939.22,60,1,Social
350,208,134,2024-04-06,4,784.85,35,1,Email
351,385,293,2024-01-20,3,840.32,31,1,Email
352,397,136,2024-10-14,1,726.44,24,0,Ads
353,503,97,2024-03-22,5,525.94,20,0,Direct
354,311,391,2024-11-02,2,731.99,30,0,Email
355,256,398,2024-01-12,2,719.53,12,0,Ads
356,230,176,2024-08-27,2,727.2,18,0,Email
357,512,188,2024-09-28,1,1179.43,28,1,Email
358,915,173,2024-08-28,1,1070.11,53,0,Direct
359,103,71,2024-09-25,4,1193.38,53,1,Ads
360,358,341,2024-12-13,1,488.46,60,0,Ads
361,464,67,2024-02-12,5,1003.17,37,1,Social
362,140,341,2024-03-12,5,750.7,52,0,Direct
363,571,369,2024-01-30,1,1155.13,30,0,Ads
364,949,349,2024-05-11,2,689.51,34,1,Direct
365,835,297,2024-08-04,2,220.22,28,1,Ads
366,814,225,2024-07-19,4,598.07,27,0,Social
367,463,201,2024-09-10,4,1170.94,60,1,Email
368,544,216,2024-11-19,4,725.78,10,1,Ads
369,100,271,2024-06-18,2,901.45,9,1,Email
370,835,201,2024-04-10,1,394.67,10,0,Social
371,231,229,2024-04-26,2,341.37,20,0,Email
372,769,399,2024-05-05,2,604.98,59,1,Ads
373,831,122,2024-11-21,5,824.19,3,0,Email
374,346,371,2024-09-15,2,331.81,45,0,Direct
375,477,162,2024-09-23,3,977.99,33,1,Direct
376,820,92,2024-07-01,3,448.0,26,0,Email
377,973,313,2024-04-16,1,1007.37,3,0,Ads
378,530,109,2024-09-27,4,342.44,51,1,Ads
379,915,97,2024-07-13,4,366.99,37,0,Direct
380,155,123,2024-11-24,4,184.13,48,0,Ads
381,303,328,2024-01-06,3,250.74,31,0,Ads
382,555,266,2024-09-15,5,549.77,9,1,Social
383,316,274,2024-06-06,1,253.61,13,0,Email
384,639,324,2024-02-12,1,439.75,47,1,Ads
385,685,157,2024-02-03,4,879.4,47,0,Social
386,68,369,2024-12-06,5,273.19,8,0,Direct
387,160,194,2024-08-25,3,836.94,26,1,Ads
388,156,356,2024-09-22,1,1137.33,21,0,Email
389,810,65,2024-11-25,3,1130.18,4,0,Direct
390,61,22,2024-09-07,5,726.06,28,0,Email
391,608,21,2024-09-07,3,65.77,39,1,Email
392,166,70,2024-01-06,4,356.36,41,0,Email
393,927,329,2024-11-24,1,1180.29,59,0,Email
394,361,193,2024-07-06,4,453.29,6,1,Social
395,131,77,2024-10-21,3,823.61,4,0,Direct
396,859,330,2024-07-07,4,397.09,60,1,Ads
397,430,381,2024-07-12,3,719.78,15,0,Email
398,229,285,2024-03-06,1,937.48,12,0,Email
399,557,170,2024-05-09,2,119.6,7,1,Email
400,993,98,2024-06-28,3,269.83,21,0,Direct
401,538,362,2024-11-21,3,1008.53,59,0,Direct
402,900,312,2024-01-05,5,639.16,8,0,Social
403,992,258,2024-01-24,2,878.32,8,0,Social
404,520,363,2024-01-23,3,137.52,37,1,Social
405,574,150,2024-10-02,1,890.19,1,1,Social
406,988,95,2024-06-18,4,1106.06,25,0,Social
407,614,341,2024-03-03,1,855.8,2,0,Direct
408,357,155,2024-03-14,4,1029.15,25,0,Social
409,938,129,2024-06-04,4,451.84,37,0,Direct
410,530,334,2024-11-20,3,154.91,50,1,Direct
411,315,376,2024-09-10,2,1172.66,18,1,Direct
412,330,306,2024-03-18,3,516.25,12,0,Social
413,937,34,2024-12-25,2,1071.11,21,0,Social
414,856,146,2024-03-02,4,1196.67,54,1,Direct
415,44,39,2024-05-09,3,483.11,60,0,Email
416,469,280,2024-03-28,5,970.48,56,0,Social
417,329,366,2024-05-04,1,663.84,32,0,Email
418,88,246,2024-10-01,5,740.05,35,1,Social
419,600,5,2024-06-24,5,418.99,55,1,Social
420,346,113,2024-02-01,1,88.87,8,1,Email
421,217,168,2024-04-16,1,472.24,5,1,Direct
422,120,55,2024-06-22,2,984.72,43,1,Direct
423,850,78,2024-08-16,4,414.08,31,1,Ads
424,333,219,2024-12-04,4,855.88,34,1,Direct
425,303,251,2024-07-09,2,399.32,27,0,Email
426,265,167,2024-02-21,3,651.91,26,1,Email
427,649,49,2024-02-19,2,502.25,41,0,Email
428,536,317,2024-01-15,4,826.55,44,0,Email
429,146,280,2024-08-30,4,171.36,18,1,Ads
430,376,305,2024-05-06,4,415.05,5,1,Email
431,311,271,2024-03-06,2,738.21,38,1,Ads
432,276,65,2024-10-31,5,550.17,17,1,Email
433,823,27,2024-10-28,2,1033.56,41,0,Email
434,848,305,2024-06-29,5,963.63,21,1,Ads
435,701,215,2024-12-19,1,1031.46,37,0,Direct
436,290,8,2024-04-16,4,374.14,23,0,Ads
437,622,158,2024-02-09,2,537.79,36,1,Social
438,608,12,2024-10-26,3,833.18,22,1,Ads
439,830,211,2024-10-09,5,542.11,3,1,Ads
440,796,104,2024-08-07,1,1035.75,35,1,Direct
441,239,95,2024-07-03,5,688.3,33,0,Social
442,913,365,2024-03-06,5,553.07,12,1,Social
443,412,115,2024-12-24,2,928.14,48,1,Direct
444,997,132,2024-01-07,5,616.43,28,1,Social
445,342,234,2024-08-08,1,801.77,20,1,Email
446,980,330,2024-05-30,3,570.51,51,0,Ads
447,36,168,2024-11-05,4,1088.28,59,1,Direct
448,504,239,2024-01-04,5,655.45,1,1,Ads
449,642,60,2024-01-16,4,537.28,24,1,Direct
450,217,93,2024-02-29,3,782.36,31,0,Ads
451,596,29,2024-09-07,5,1055.5,41,0,Email
452,333,28,2024-11-19,5,866.5,45,0,Direct
453,521,260,2024-02-01,3,624.97,34,0,Social
454,993,220,2024-02-07,3,1198.63,35,0,Ads
455,556,145,2024-03-14,4,58.06,22,1,Ads
456,175,399,2024-11-13,1,1093.43,16,0,Social
457,415,127,2024-01-22,5,907.63,44,0,Direct
458,995,328,2024-05-27,3,418.95,57,0,Email
459,409,140,2024-05-13,4,530.43,8,1,Direct
460,563,83,2024-11-02,4,1077.3,33,1,Social
461,337,62,2024-04-16,4,1013.23,16,1,Social
462,819,261,2024-02-01,3,81.7,56,0,Social
463,960,308,2024-08-06,3,163.71,46,0,Ads
464,313,90,2024-06-26,1,388.9,42,1,Ads
465,656,127,2024-07-22,1,84.77,18,0,Ads
466,901,363,2024-11-18,4,518.62,1,0,Ads
467,158,139,2024-10-15,2,439.59,39,1,Email
468,922,382,2024-11-17,4,1092.78,12,1,Email
469,702,127,2024-07-03,4,427.58,19,1,Email
470,427,343,2024-08-15,4,576.36,7,1,Direct
471,781,56,2024-08-22,3,530.63,12,1,Social
472,146,208,2024-11-05,5,1088.89,31,0,Social
473,325,46,2024-10-01,5,820.75,41,0,Ads
474,629,57,2024-04-20,5,1143.99,35,0,Ads
475,494,192,2024-08-09,3,611.05,8,0,Ads
476,671,263,2024-05-16,3,683.26,48,1,Social
477,451,179,2024-08-01,2,362.79,1,0,Social
478,471,336,2024-09-30,3,1039.78,12,1,Ads
479,108,240,2024-03-22,4,183.91,48,0,Ads
480,886,347,2024-12-03,2,571.41,36,1,Social
481,188,333,2024-08-07,5,634.5,1,1,Email
482,325,400,2024-01-09,5,646.34,48,0,Ads
483,203,256,2024-08-07,3,1151.47,3,0,Ads
484,744,248,2024-04-17,5,172.71,54,1,Direct
485,148,22,2024-10-13,3,1054.54,5,1,Direct
486,481,223,2024-03-07,3,1041.64,56,0,Ads
487,993,132,2024-02-20,5,231.57,23,1,Email
488,294,298,2024-08-30,3,754.31,39,1,Email
489,320,9,2024-03-15,1,1098.46,35,0,Direct
490,976,55,2024-12-19,3,885.42,10,1,Social
491,654,60,2024-11-21,1,158.38,8,1,Ads
492,350,41,2024-07-20,3,237.71,8,0,Social
493,704,359,2024-12-29,5,84.91,14,0,Direct
494,469,251,2024-10-09,1,74.83,44,1,Direct
495,55,219,2024-02-12,2,1149.91,35,1,Email
496,761,309,2024-09-15,2,1039.81,54,0,Social
497,608,328,2024-03-28,2,131.45,45,0,Social
498,872,297,2024-06-02,5,187.9,20,0,Social
499,379,350,2024-07-08,5,1170.43,1,1,Direct
500,274,379,2024-05-08,2,455.48,9,0,Direct
501,987,223,2024-12-11,1,1025.59,60,0,Direct
502,899,33,2024-01-27,5,1175.12,27,1,Social
503,19,209,2024-02-21,4,905.03,39,1,Direct
504,684,356,2024-06-07,2,905.58,31,1,Social
505,429,383,2024-09-20,2,305.44,51,1,Email
506,550,162,2024-11-26,2,724.6,25,1,Ads
507,872,379,2024-02-01,1,1010.02,42,0,Direct
508,96,241,2024-08-30,2,117.59,10,0,Ads
509,519,101,2024-08-10,2,984.13,18,0,Social
510,989,197,2024-01-09,3,677.09,57,0,Email
511,289,264,2024-05-27,3,517.3,4,0,Email
512,92,209,2024-03-09,1,675.86,14,1,Email
513,394,306,2024-01-10,1,766.4,46,1,Email
514,180,222,2024-07-05,4,1044.98,13,0,Ads
515,674,120,2024-01-21,4,174.48,12,0,Ads
516,594,256,2024-09-01,2,90.03,26,1,Ads
517,238,279,2024-01-04,4,737.68,50,0,Ads
518,456,158,2024-04-04,3,483.6,43,1,Email
519,393,326,2024-12-17,2,442.27,24,1,Direct
520,383,239,2024-02-26,2,771.56,43,1,Direct
521,828,12,2024-04-08,1,369.16,30,1,Email
